,Pressure,Humidity,Temperature
299,983.8,92.15,
300,982.75,88.75,
301,981.4,83.05,
302,980.4,78.85,
303,979.6,76.1,
304,978.95,72.2,
305,979.15,73.8,
306,979.5,81.9,
307,980.2,85.85,
308,980.55,88.7,
309,981.05,91.9,
310,982.2,94.4,
311,982.75,94.65,
312,982.2,95.5,
313,981.45,96.3,
314,981.5,97.35,
315,981.3,98.2,
316,981.45,98.6,
317,981.5,98.8,
318,982,98.95,
319,982.9,98.75,
320,983.6,96.7,
321,983.85,90.15,
322,983.5,87.9,
323,982.8,86.2,
324,981.65,83.25,
325,980.3,78.35,
326,979.15,75.5,
327,978.7,75.25,
328,978.85,81.6,
329,979.35,91.3,
330,980.15,91.85,
331,980.45,94.35,
332,980.9,95.65,
333,981.25,96.45,
334,981.5,96.75,
335,981.75,96.85,
336,981.3,97.2,
337,980.75,97.9,
338,980.8,99,
339,980.85,99.35,
340,980.8,99.6,
341,980.85,99.7,
342,981.6,99.75,
343,982.1,99.85,
344,982.15,99.55,
345,982.3,98.4,
346,982.15,94.3,
347,981.7,87.15,
348,980.9,81.55,
349,979.75,75.3,
350,978.85,70.95,
351,978.6,67.45,
352,978.45,66.95,
353,978.2,67.25,
354,978.5,74.05,
355,979.15,83.05,
356,979.65,88.05,
357,980.35,91.25,
358,980.85,93.15,
359,980.7,93.15,
360,980.3,95.4,
361,979.95,96.9,
362,979.9,96.8,
363,979.65,96.8,
364,979.75,97.3,
365,980.4,97.8,
366,981.15,97.7,
367,981.75,97.05,
368,982.45,96.4,
369,982.8,95.6,
370,982.7,93.9,
371,982,91,
372,980.9,83.45,
373,979.85,79.8,
374,979.1,80.8,
375,978.65,80.2,
376,978.25,76.05,
377,978,81.8,
378,978.1,85.15,
379,978.65,88.95,
380,979.3,91.3,
381,980.05,92.35,
382,981.1,93.6,
383,981.55,95.3,
384,981.05,96.8,
385,980.6,98.1,
386,980.3,98.6,
387,980.15,98.6,
388,980.4,98.3,
389,980.8,98.2,
390,981.25,98.05,
391,981.9,97.45,
392,982.3,94.55,
393,982.3,90.5,
394,982.05,86.3,
395,981.65,85.2,
396,980.7,81.35,
397,979.9,79.95,
398,978.85,78.4,
399,978.2,73.3,
400,977.8,74.15,
401,977.8,74.15,
402,978.75,79.05,
403,979.3,83.75,
404,979.7,89,
405,979.9,91.05,
406,980.5,91.7,
407,980.7,92.5,
408,980.5,95.45,
409,980.25,96.35,
410,979.85,96.6,
411,979.7,96.7,
412,980.05,96.7,
413,980.45,96.5,
414,981.1,96.4,
415,981.3,95.8,
416,981.95,92.2,
417,982.2,87.8,
418,982.15,81.75,
419,981.65,75.85,
420,980.75,72.45,
421,979.8,82.65,
422,978.4,78.55,
423,977.6,69.5,
424,978.05,87.7,
425,978.45,94.6,
426,979.8,94.8,
427,980.5,95.9,
428,981.2,96.35,
429,981.65,97.15,
430,982.1,98.15,
431,982.1,98.45,
432,981.35,98.35,
433,980.4,98.25,
434,979.85,98.2,
435,979.75,98.45,
436,979.75,98.75,
437,980.15,99,
438,980.6,99.2,
439,981.45,99.15,
440,982.1,98.6,
441,982.4,97.3,
442,982.05,96.3,
443,981.55,94.8,
444,980.3,91.65,
445,978.9,85,
446,978.1,81.15,
447,977.6,81.65,
448,977.55,84.2,
449,977.85,87,
450,978.5,90.15,
451,979.3,92.95,
452,980.05,95.3,
453,980.65,96.5,
454,981.2,97.05,
455,981.55,97.6,
456,981.1,98.05,
457,980.5,98.4,
458,980.35,98.75,
459,980.35,99.05,
460,980.4,99.3,
461,980.65,99.55,
462,981.25,99.75,
463,981.65,99.8,
464,982.55,99.65,
465,983.15,98.45,
466,983.1,95.2,
467,982.55,91.3,
468,981.3,82.35,
